label,text
"ربط البطاقة","استلمت بطاقتي. كيف اربطها بالتطبيق؟"
"ابتلاع البطاقة","لم أسترد بطاقتي من جهاز الصراف الآلي."
"وصول البطاقة","ما سبب عدم وصول بطاقتي الجديدة؟"
"تحرير التفاصيل الشخصية","التفاصيلاللي بتتغير مهمة،شو الشغلات اللي لازم اسويها عشان تزبط معي"
"رسوم الصرف","هل هناك القليل لتبادل العملات الأجنبية؟"
"لماذا التحقق من الهوية","لماذا أحتاج إلى التحقق من حسابي؟"
"طلب استرداد","بقدر الغي طلب في حال ما وصلني الطلب؟وكيف بقدر ارجع المصاري اللي دفعتهن؟بتمنى تساعدوني وشكرا"
"التعبئة عن طريق البطاقة","بدي احوال مصاري عن طريق الفيزا كارت"
"البطاقات والعملات المدعومة","إذا كنت أرغب في الشحن عن طريق البطاقة ، كيف أفعل ذلك؟"
"حدود البطاقة التي يمكن التخلص منها","لازم اني اعمل كتير بطاقات من النوع اللي بقدر اتخلص منو"
"الحصول على بطاقة افتراضية يمكن التخلص منها","من فضلك ، هل يمكنني الحصول على بطاقة افتراضية يمكن التخلص منها أيضا؟"
"تغيير رمز التعريف الشخصي","تغيير البي اي ان تاعي"
"لماذا التحقق من الهوية","ليش بتتأكدو مني ؟"
"تعبئة تلقائية","كيف بوصل لخيار التعبئة التلقائية؟"
"إرجاع الدفع بالبطاقة؟","شكله الدفع ببطاقتي التغى. شو اللي صار؟"
"تم تحصيل رسوم الدفع بالبطاقة","أنا غاضب لأنني تم تحصيل رسوم مني لاستخدام بطاقتي."
"سعر صرف خاطئ للسحب النقدي","في عملية سحب حديثة ، تلقيت نقودا أقل مما توقعت. هل أخطأ أحد في سعر الصرف؟"
"حد السن","ما هو أصغر حساب يمكنني فتحه؟"
"إرجاع الدفع بالبطاقة؟","استخدمت بطاقتي لتسديد دفعة بدي أسأل ليش رجعتلي؟"
"طلب بطاقة فعلية","كم تكلفة البطاقة الفعلية؟"
"الحصول على بطاقة افتراضية","لازم يصيرعندي وحدة من البطاقات الافتراضية"
"توقيت التحويل","ايمتى رح يوصل التحويل لحسابي؟"
"وصول البطاقة","لهلا بطاقتي ما بينت."
