label,text
"وصول البطاقة","ما زلت أنتظر بطاقتي؟"
"وصول البطاقة","ماذا أفعل إذا لم تصل بطاقتي بعد أسبوعين؟"
"وصول البطاقة","انا أنتظر منذ أكثر من أسبوع. هل ما زالت البطاقة قادمة؟"
"وصول البطاقة","هل يمكنني تتبع بطاقتي أثناء عملية التسليم؟"
"وصول البطاقة","كيف أعرف إذا ما كنت سأحصل على بطاقتي ، أو إذا ضاعت؟"
"وصول البطاقة","متى أرسلت لي بطاقتي الجديدة؟"
"وصول البطاقة","هل لديك معلومات عن البطاقة عند التسليم؟"
"وصول البطاقة","ماذا أفعل إذا لم أستلم بطاقتي الجديدة؟"
"وصول البطاقة","هل يتم تتبع الحزمة مع بطاقتي؟"
"وصول البطاقة","طلبت بطاقتي لكنها ما زالت غير موجودة"
"وصول البطاقة","لماذا لم تصل بطاقتي الجديدة؟"
"وصول البطاقة","ما زلت لم أستلم بطاقتي بعد أسبوعين ، هل فقدت؟"
"وصول البطاقة","هل هناك طريقة لتتبع تسليم بطاقتي؟"
"وصول البطاقة","لقد مر أسبوع منذ أن طلبت بطاقتي وهي ليست هنا. ارجو المساعدة؟"
"وصول البطاقة","لا أملك بطاقتي خلال أسبوع واحد. يجب أن أكون قلقا؟"
"وصول البطاقة","كيف أعرف موعد وصول بطاقتي الجديدة؟"
"وصول البطاقة","لم يتم تسليم بطاقتي الجديدة إلى منزلي بعد. ما الذي يجري؟"
"وصول البطاقة","لقد مر أسبوع منذ أن أصدرت لي بطاقة وما زلت لم أحصل عليها. هل يجب علي الانتظار؟"
"وصول البطاقة","على البطاقة القادمة ما هي معلومات التعقب؟"
"وصول البطاقة","ما هي حالة تسليم بطاقتي؟"
"وصول البطاقة","هل أرسلت بطاقتي حتى الآن؟"
"وصول البطاقة","اين بطاقتي الجديدة"
"وصول البطاقة","لقد مر أسبوع منذ أن أرسلت بطاقتي وما زلت لا أملكها."
"وصول البطاقة","كيف يمكنني تتبع البطاقة التي أرسلتها إلي؟"
"وصول البطاقة","متى سأستلم بطاقتي الجديدة؟"
"وصول البطاقة","متى سأحصل على بطاقتي الجديدة؟"
"وصول البطاقة","ما هو تاريخ التسليم المتوقع لبطاقتي؟"
"وصول البطاقة","هل يوجد رقم تتبع للبطاقة التي أرسلتها إلي؟"
"وصول البطاقة","أرغب في تتبع البطاقة التي أرسلتها إلي."
"وصول البطاقة","هل فقدت بطاقتي في التسليم؟"
"وصول البطاقة","لم تصلني بطاقتي الجديدة."
"وصول البطاقة","أين البطاقة التي طلبتها قبل أسبوعين؟"
"وصول البطاقة","هل يمكنني الحصول على تحديث لبطاقتي البديلة؟"
"وصول البطاقة","كم من الوقت يستغرق شحن بطاقة جديدة؟"
"وصول البطاقة","ما هو التتبع على البطاقة التي أرسلتها؟"
"وصول البطاقة","لم أستلم بطاقتي وأخشى ضياعها."
"وصول البطاقة","أحتاج إلى معرفة مكان البطاقة التي طلبتها."
"وصول البطاقة","أين بطاقتي الائتمانية التي كان من المقرر إرسالها بالبريد؟"
"وصول البطاقة","لقد طلبت بطاقتي ولكن لم يتم تسليمها بعد"
"وصول البطاقة","هل تستطيع تعقب البطاقة التي حصلت عليها حاليا؟"
"وصول البطاقة","هل يمكن أن تخبرني لماذا لم أستلم بطاقتي الجديدة؟"
"وصول البطاقة","ما زلت في انتظار بطاقتي الجديدة."
"وصول البطاقة","هل فقدت بطاقتي؟ ما زلت في انتظار تسليمها."
"وصول البطاقة","هل يجب أن أستمر في انتظار تسليم بطاقتي؟"
"وصول البطاقة","كيف يمكنني التحقق من حالة بطاقتي الجديدة؟"
